brand,model,screen_size,color,storage,processor,RAM,os,special_feature,graphics,price
HP,HP Laptop,15.6 Inches,Silver-Ci7,512 GB,Core i7 Family,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard",Integrated,"₹29,990"
HP,HP Laptop,39.6 Centimetres,Natural Silver,512 GB,Ryzen 3,8 GB,Windows 11 Home,Anti Glare Coating,Integrated,"₹52,800"
ASUS,ASUS Vivobook 15,15.6 Inches,Silver | 16GB RAM,512 GB,Core i3,16 GB,Windows 11 Home,Anti-glare display,Integrated,"₹55,990"
HP,HP Laptop,39.6 Centimetres,Mica Silver,512 GB,Others,16 GB,Windows 11 Home,"Anti Glare Coating, Micro Edge Display",Dedicated,"₹46,990"
ASUS,ASUS Vivobook 15,15.6 Inches,Blue | R7 5825U,,Ryzen 7,8 GB,Windows 11 Home,"45% NTSC color gamut, Anti-glare display, Backlit Keyboard",Integrated,"₹55,990"
Lenovo,IdeaPad Slim 3,15.6 Inches,Arctic Grey,512 GB,Core i5,16 GB,"Windows 11 Home 64, English",Built-in Microphone,Integrated,"₹52,990"
Lenovo,LOQ,15.6 Inches,i5-12th | RTX 3050,512 GB,Others,16 GB,Windows 11 Home,"Backlit Keyboard, HD Audio",Dedicated,"₹35,990"
acer,Aspire Lite,15.6 Inches,UN.31ZSI.045,512 GB,Ryzen 3 5300U,8 GB,Windows 11 Home,Lightweight,Integrated,"₹14,990"
ASUS,ASUS Vivobook Go 14,14 Inches,Black | 16GB RAM,512 GB,Ryzen 5,16 GB,Windows 11 Home,"60Hz refresh rate, Anti-glare display",Integrated,"₹29,990"
Walker,NU14A1,14.1 Inches,Gray,128 GB,Celeron N4020,4 GB,Windows 11 Home,Thin,Integrated,"₹45,490"
Dell,Inspiron,15.6 Inches,Black,512 GB,Ryzen 3,8 GB,Windows 11 Home,Software Included,Integrated,"₹1,04,990"
ASUS,ASUS Zenbook 14,14 Inches,Foggy Silver (Ultra 7),1 TB,Intel Core Ultra 7,32 GB,Windows 11 Home,"120Hz refresh rate, 500nits HDR peak brightness, Backlit Keyboard, Glossy display, Touch screen",Integrated,"₹58,990"
ASUS,ASUS Vivobook Go 15,15.6 Inches,Star Black,512 GB,Celeron N,8 GB,Windows 11 Home,"60Hz refresh rate, Anti-glare display",Integrated,"₹62,990"
HP,HP 15,15.6 Inches,Black,256 GB,Athlon,8 GB,Windows 11 Pro,"Anti Glare Coating, HD Audio, Lightweight, Numeric Keypad",Integrated,"₹57,990"
Lenovo,IdeaPad Flex 5,14 Inches,Arctic Grey,512 GB,Ryzen 5,16 GB,Windows 11 Home,"Backlit Keyboard, HD Audio, Lightweight, Support Stylus",Integrated,"₹34,990"
HP,HP Laptop,15.6 Inches,Natural Silve,512 GB,Core i5,16 GB,Windows 11 Home,"Backlit Keyboard, Micro-Edge Display",Integrated,"₹69,990"
Primebook,,11.6 Inches,Gray,128 GB,MediaTek Helio,6 GB,PrimeOS 3.0,"Lightweight, Memory Card Slot",Integrated,"₹33,990"
Lenovo,Lenovo V14,14 Inches,Iron Grey,512 GB,Core i5,16 GB,Windows 11 Home,"Fhd Display, Spill Resistant, Ssd Storage, Thin, Windows 11",Integrated,"₹84,990"
HP,HP Laptop,39.6 Centimetres,Natural Silver,512 GB,Ryzen 7,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard",Integrated,"₹44,490"
MSI,CreatorPro X17 HX A13VKS,44 Centimetres,Core Black,4 TB,Core i9,64 GB,Windows 11 Pro,,Dedicated,"₹31,990"
acer,Aspire Lite,15.6 Inches,Steel Gray,256 GB,Ryzen 3 5300U,8 GB,Windows 11 Home,Lightweight,Integrated,"₹66,990"
HP,HP Laptop,39.6 Centimetres,Blue,512 GB,Ryzen 5,16 GB,Windows 11 Home,"Anti Glare Coating, Micro Edge Display",Dedicated,"₹1,17,990"
ASUS,ASUS Vivobook Go 14,14 Inches,Silver | 16GB RAM,512 GB,Ryzen 5,16 GB,Windows 11 Home,"60Hz refresh rate, Anti-glare display",Integrated,"₹20,970"
HP,HP 240 G10,14 Inches,Black,512 GB,Intel Core i5,8 GB,Windows 11 Pro,"Lightweight, Thin",Integrated Intel Graphics,"₹44,990"
acer,Nitro V,15.6 Inches,Black + Ryzen7/16GB/512GB/4050,512 GB,Ryzen 7,16 GB,Windows 11 Home,"Backlit Keyboard, Numeric Keypad",Dedicated,"₹64,990"
ASUS,Vivobook Go 15,15.6 Inches,Silver | MSO 24,512 GB,Ryzen 3,8 GB,Windows 11 Home,"Anti-glare display, US MIL-STD 810H military-grade standard",Integrated,"₹54,990"
ASUS,ASUS Vivobook 16,16 Inches,Silver | i5-13420H,512 GB,Core i5,16 GB,Windows 11 Home,"60Hz refresh rate, Anti-glare display",Integrated,"₹44,480"
Lenovo,LOQ,15.6 Inches,i5-12th | RTX 3050,512 GB,Others,16 GB,Windows 11 Home,"Backlit Keyboard, HD Audio",Dedicated,"₹69,990"
HP,HP Laptop,15.6 Inches,Natural Silve,512 GB,Core i5,16 GB,Windows 11 Home,"Backlit Keyboard, Micro-Edge Display",Integrated,"₹1,47,887"
Dell,Inspiron,15.6 Inches,Silver MSO'24,512 GB,Core i7,16 GB,Windows 11 Home,Backlit Keyboard,Integrated,"₹28,495"
ASUS,ASUS Vivobook,15.6 Inches,Silver | MSO 21,512 GB,Core i5,,Windows 11 Home,Anti Glare Display,Integrated,"₹1,79,990"
Dell,Latitude 15,15.6 Inches,Smoky Black,512 GB,Core i3-1215U,16 GB,Windows 11 Home,"Anti Glare Coating, HD Audio, Lightweight, Numeric Keypad",Integrated,"₹53,400"
HP,HP LAPTOP,14 Inches,Silver,512 GB,Core i5,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard, Micro-edge,lightweight",Integrated,"₹32,990"
HP,HP Laptop,16 Inches,Shadow Black,1 TB,Intel Core i7,24 GB,Windows 11 Home,"Anti Glare Coating, RGB Backlit",Dedicated,"₹43,990"
Lenovo,IdeaPad 5 2-in-1,14 Inches,Luna Grey,512 GB,,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard, Fingerprint Reader, Support Stylus",Integrated,"₹48,990"
acer,Travel Lite,14 Inches,Silver,512 GB,Ryzen 3,16 GB,Windows 11 Pro,"Anti Glare Coating, HD Audio, Lightweight, Spill Resistant",Integrated,"₹45,490"
ASUS,ASUS Vivobook 15,15.6 Inches,Quiet Blue,512 GB,Core i5,16 GB,Windows 11 Home,"Backlit Keyboard, Precision touchpad",Integrated,"₹43,990"
HP,HP Laptop,39.6 Centimetres,Natural Silver,512 GB,Core i3 Family,8 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard",Integrated,"₹34,990"
Dell,Inspiron,15.6 Inches,Silver,1 TB,Core i5,16 GB,Windows 11 Home,Backlit Keyboard,Integrated,"₹23,480"
Lenovo,Lenovo V14,14 Inches,Iron Grey,512 GB,Core i5,16 GB,Windows 11 Home,"Fhd Display, Spill Resistant, Ssd Storage, Thin, Windows 11",Integrated,"₹28,985"
HP,HP Laptop,39.6 Centimetres,Natural Silver,512 GB,Ryzen 7,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard",Integrated,"₹57,990"
