brand,model,screen_size,color,storage,processor,RAM,os,special_feature,graphics,price
Lenovo,ThinkBook 16,16 Inches,Light Silver,512 GB,AMD Ryzen 7,16 GB,Windows 11 Home,"Backlit Keyboard, Fingerprint Reader, HD Audio, Lightweight, Numeric Keypad",Integrated,"₹64,990"
Lenovo,LOQ,15.6 Inches,RTX 4050 | Office 2024,512 GB,Ryzen 7,24 GB,Windows 11 Home,"Backlit Keyboard, HD Audio",Dedicated,"₹45,490"
HP,HP Laptop,39.6 Centimetres,Natural Silver,512 GB,Ryzen 7,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard",Integrated,"₹43,990"
Lenovo,Lenovo V14,14 Inches,Iron Grey,512 GB,Core i5,16 GB,Windows 11 Home,"Fhd Display, Spill Resistant, Ssd Storage, Thin, Windows 11",Integrated,"₹1,03,990"
ASUS,ASUS Vivobook S16,16 Inches,Matte Gray,512 GB,Intel Core i5,16 GB,Windows 11 Home,"45% NTSC color gamut, Anti-glare display, LED Backlit",Integrated,"₹50,990"
Lenovo,LOQ,15.6,R5 | 12GB | RTX 3050A,512 GB,Ryzen 5,12 GB,Windows 11 Home,"Backlit Keyboard, HD Audio",Dedicated,"₹39,990"
Lenovo,Legion 5,16 Inches,Luna Grey,1 TB,Intel Core i7,16 GB,Windows 11 Home,HD Audio,Dedicated,"₹34,800"
Lenovo,IdeaPad Slim 3,15.6 Inches,Arctic Grey,512 GB,Core i5,16 GB,"Windows 11 Home 64, English",Built-in Microphone,Integrated,"₹32,989"
ASUS,Chromebook,14 Inches,Quiet Blue,,Celeron,8 GB,Chrome OS,"86% Screen-to-body ratio, Anti-glare display, US MIL-STD 810H military-grade standard",Integrated,"₹45,990"
Saco,,,Transparent,,,,,"Anti Glare, Oil Resistant, Scratch Resistant, Shockproof",,"₹1,29,990"
FUTOPIA,APEX,14.1 Inches,Silver,512 GB,Celeron N4020,8 GB,Window Home 11,"Anti Glare Coating, HD Audio, Lightweight, Memory Card Slot",Integrated,"₹48,990"
Lenovo,E14 Gen 6,14 Inches,Graphite Black,512 GB,Ryzen 5,16 GB,Windows 11,"Anti Glare Coating, Backlit Keyboard, Copilot, Fingerprint Reader, HD Audio, Lightweight",Integrated,"₹43,990"
HP,HP Laptop,15.6 Inches,Natural Silve,512 GB,Core i5,16 GB,Windows 11 Home,"Backlit Keyboard, Micro-Edge Display",Integrated,"₹44,990"
Dell,Inspiron,15.6 Inches,Silver,1 TB,Core i5,16 GB,Windows 11 Home,Backlit Keyboard,Integrated,"₹64,990"
Lenovo,LOQ,15.6 Inches,i5-12th | RTX 3050,512 GB,Others,16 GB,Windows 11 Home,"Backlit Keyboard, HD Audio",Dedicated,"₹40,985"
Lenovo,IdeaPad Slim 3,15.6 Inches,Arctic Grey,512 GB,Core i5,16 GB,"Windows 11 Home 64, English",Built-in Microphone,Integrated,"₹99,990"
ASUS,ASUS Vivobook S16,16 Inches,Cool Silver,512 GB,Intel Core i5,16 GB,Windows 11 Home,"45% NTSC color gamut, Anti-glare display, LED Backlit",Integrated,"₹44,900"
Dell,Inspiron,15.6 Inches,Silver,512 GB,Core i5,16 GB,Windows 11 Home,Backlit Keyboard,Integrated,"₹34,990"
Apple,"13-inch MacBook Air (M4, 2025)",13.6 Inches,Midnight,256 GB,Apple M4,16 GB,Mac OS,,Integrated,"₹33,990"
HP,HP Laptop,40 Centimetres,Black,1 TB,Intel Core Ultra 9,32 GB,Windows 11 Home,"Anti Glare Coating, IPS, Micro Edge Display",Dedicated,"₹57,990"
ASUS,ASUS Vivobook 16,16 Inches,Silver | i5-12500H,512 GB,Core i5,16 GB,Windows 11 Home,Backlit Keyboard,Integrated,"₹69,990"
ASUS,ASUS Vivobook 16,16 Inches,Black | Core 7 240H,512 GB,Intel Core 7,16 GB,Windows 11 Home,"Anti-glare display, Backlit Keyboard, Precision touchpad",Integrated,"₹84,990"
acer,Aspire 3,14 Inches,Silver,512 GB,Others,8 GB,Windows 11 Home,Thin,Integrated,"₹45,490"
acer,Aspire 3,15.6 Inches,Silver,512 GB,Core i3,24 GB,Windows 11 Home,"Anti Glare Coating, HD Audio, Lightweight, Memory Card Slot, Numeric Keypad",Integrated,"₹42,990"
Lenovo,Lenovo V15,15.6 Inches,Iron Grey,512 GB,Core i5 Family,16 GB,Windows 11 Home,"Anti Glare Coating, Lightweight",Integrated,"₹42,499"
Dell,Vostro,15.6 Inches,Carbon Black,,Core i5,8 GB,Windows 11 Home,Thin,Integrated,"₹58,900"
